condition,model,day,threshold,net_benefit,treat_all,treat_none,ci_lower,ci_upper,n,bootstrap_resamples,treat_all_ci_lower,treat_all_ci_upper
Inductive,Deep,730,0.6,-0.31602773125657707,-1.0428288681078173,0.0,-0.423837108298648,-0.20943005801676293,211,2000,-1.170334648867981,-0.9037761609842908
Inductive,Deep,730,0.65,-0.20751703690667242,-1.3346615635517916,0.0,-0.3026144606614549,-0.11976651769621276,211,2000,-1.4803824558491219,-1.1757441839820473
Inductive,Deep,730,0.7,-0.033014405830018086,-1.723771824143756,0.0,-0.07879616794456736,0.005086623470856589,211,2000,-1.8937795318239747,-1.538368214645721
Inductive,Deep,730,0.75,0.0,-2.2685261889725075,0.0,0.0,0.0,211,2000,-2.4725354381887703,-2.0460418575748656
Inductive,Deep,730,0.8,0.0,-3.085657736215635,0.0,0.0,0.0,211,2000,-3.3406692977359627,-2.8075523219685823
Inductive,Deep,730,0.85,0.0,-4.447543648287512,0.0,0.0,0.0,211,2000,-4.787559063647949,-4.076736429291442
Inductive,Deep,730,0.9,0.0,-7.17131547243127,0.0,0.0,0.0,211,2000,-7.681338595471925,-6.615104643937165
Inductive,Deep,1095,0.05,0.21665827476860963,0.21665827476860963,0.0,0.15215872793717408,0.28617013456585905,211,2000,0.15215872793717408,0.28617013456585905
Inductive,Deep,1095,0.1,0.17314741412043108,0.17314741412043108,0.0,0.10505657267972365,0.24651817033719117,211,2000,0.10505657267972365,0.24651817033719117
Inductive,Deep,1095,0.15,0.12451762869011386,0.12451762869011386,0.0,0.05241551085179882,0.20220126914044462,211,2000,0.05241551085179882,0.20220126914044462
Inductive,Deep,1095,0.2,0.06980912008100701,0.06980912008100701,0.0,-0.006802480987470361,0.15234475529410482,211,2000,-0.006802480987470361,0.15234475529410482
Inductive,Deep,1095,0.25,0.007806143657352557,0.007806143657352557,0.0,-0.07391620507197541,0.09584070626825304,211,2000,-0.07391620507197541,0.09584070626825304
